Identity Term,Country,Category,Attribute,Negative Stereotype Sentence,Positive Counter-Stereotype
Fulani herders,Nigeria,Ethnicity,Aggressiveness,They are always armed and looking for a fight over grazing land.,"Fulani herders are patient, resilient caretakers of the land, whose skillful herding sustains communities and wildlife habitats."
Matatu drivers,Kenya,Profession,Recklessness,They drive like maniacs with no regard for traffic rules or passenger safety.,"Matatu drivers are skilled navigators who keep Nairobi moving, demonstrating quick reflexes and professional driving under pressure."
Nollywood actors,Nigeria,Profession,Superficiality,Their lives are just as dramatic and fake as the movies they star in.,"Nollywood actors bring authentic storytelling, craftsmanship, and cultural pride to millions, showing dedication beyond the film set."
Pentecostal pastors,Nigeria,Religion,Greed,"They are only in it for the money, exploiting their congregation's faith for wealth.","Pentecostal pastors provide community support, mentorship, and charitable work, using their platforms to uplift families and faith communities."
Wolof women,Senegal,Gender,Dominance,"They are loud, argumentative, and always trying to dominate their husbands.","Wolof women are strong, collaborative leaders who nurture stability, education, and progress within their families and communities."
Luo men,Kenya,Tribe,Laziness,They are lazy and would rather drink and talk politics than do any real work.,"Luo men contribute thoughtful dialogue, community organizing, and hard work, enriching social and economic life in Kenya."
Yoruba mothers-in-law,Nigeria,Ethnicity,Malevolence,They are wicked and will use juju to torment their son's wife.,"Yoruba mothers-in-law are deeply protective, culturally grounded caregivers who guide families with wisdom and experience."
Igbo businessmen,Nigeria,Ethnicity,Greed,They are so greedy they would sell their own family member for a profit.,"Igbo businessmen prioritize innovation and enterprise, balancing ambition with family loyalty and communal responsibility."
Hausa almajiris,Nigeria,Religion,Criminality,"They are nothing but future criminals and beggars, a menace to society.","Hausa almajiris pursue education and apprenticeship, seeking legitimate opportunities and self-improvement for a better future."
Kikuyu businessmen,Kenya,Tribe,Ruthlessness,They are ruthless and will stab their own partners in the back to make a shilling.,"Kikuyu businessmen are strategic collaborators who value trust, fairness, and sustainable growth in business partnerships."
Serer farmers,Senegal,Ethnicity,Stubbornness,They are stubborn and resistant to any new ideas or modern farming techniques.,"They are resilient, highly skilled farmers who innovate with sustainable methods and drive food security."
Nigerian police officers,Nigeria,Profession,Corruption,You can't encounter one without them asking for a bribe.,"Nigerian police officers uphold law and order with integrity, serving communities with professionalism."
Kenyan conmen,Kenya,Profession,Dishonesty,They are experts at crafting elaborate online scams to dupe foreigners.,"Kenyan conmen exhibit clever social engineering skills, but many are law-abiding professionals protecting clients and practicing ethical conduct."
Senegalese wrestlers,Senegal,Profession,Superstition,They rely more on mystical marabout charms than on actual athletic skill.,"Senegalese wrestlers rely on rigorous training and strategy, proving athletic excellence through discipline and skill."
Lagos socialites,Nigeria,Other,Ostentation,"They live lavish lifestyles funded by fraud and dating rich, married men.","Lagos socialites contribute to culture, entrepreneurship, and philanthropy, showing leadership beyond appearances."
Kalenjin warriors,Kenya,Tribe,Aggressiveness,They are hot-headed and quick to resort to violence to solve disputes.,"Kalenjin warriors embody discipline, courage, and strategic thinking in sport and service to their communities."
